expcode,impcode,common_lang,ln_distance,ln_trade
ALGERIA,HAITI,1,4.330099,NA
ALGERIA,JAMAICA,0,4.395539,NA
ALGERIA,NETH ANTILLE,0,4.293016,NA
ALGERIA,ST KITTS NEV,0,4.198849,NA
ALGERIA,TRINIDAD-TOB,1,4.192972,NA
ALGERIA,TURKS CAICOS,0,4.064735,NA
ALGERIA,BELIZE,0,4.525885,NA
ALGERIA,FRENCH GUIAN,1,4.109663,NA
ALGERIA,GUYANA,0,4.191602,NA
ALGERIA,PANAMA,0,4.444378,NA
ALGERIA,SURINAM,0,4.154099,2.639057
ALGERIA,ISRAEL,1,3.463932,NA
ALGERIA,JAPAN,0,4.907028,11.50857
ALGERIA,BAHRAIN,1,3.862666,NA
ALGERIA,CYPRUS,0,3.427704,9.144307
ALGERIA,IRAN,0,3.915213,8.732305
ALGERIA,IRAQ,1,3.720953,NA
ALGERIA,JORDAN,1,3.500623,NA
ALGERIA,KUWAIT,1,3.755984,4.234107
ALGERIA,LEBANON,1,3.506983,NA
ALGERIA,OMAN,1,3.997316,NA
ALGERIA,QATAR,1,3.877736,NA
ALGERIA,SAUDI ARABIA,1,3.740214,NA
ALGERIA,SYRN ARAB RP,1,3.574959,7.012115
ALGERIA,UNTD ARAB EM,1,3.934892,3.295837
ALGERIA,TURKEY,1,3.52158,11.91416
ALGERIA,YEMEN,1,3.846741,9.466222
ALGERIA,AFGHANISTAN,0,4.130376,NA
ALGERIA,BANGLADESH,0,4.466964,NA
ALGERIA,BHUTAN,0,4.471655,NA
ALGERIA,BRUNEI,0,4.737186,NA
ALGERIA,MYANMAR (BUR,0,4.555867,NA
ALGERIA,CAMBODIA,1,4.635671,NA
ALGERIA,SRI LANKA,0,4.391698,NA
ALGERIA,HONG KONG,0,4.712367,NA
ALGERIA,INDIA,0,4.309875,5.777652
ALGERIA,INDONESIA (i,0,4.800447,7.763871
ALGERIA,KOREA RP (SO,0,4.826912,NA
ALGERIA,LAOS P.DEM.R,1,4.629755,NA
ALGERIA,MALAYSIA,0,4.722331,NA
ALGERIA,MALDIVES,0,4.307393,NA
ALGERIA,NEPAL,0,4.394449,NA
ALGERIA,PAKISTAN,0,4.205138,NA
ALGERIA,PHILIPPINES,0,4.787005,NA
ALGERIA,SINGAPORE,0,4.64688,NA
ALGERIA,THAILAND,0,4.583612,7.06732
ALGERIA,TAIWAN,0,4.771411,NA
ALGERIA,CHINA,0,4.627322,8.619208
ALGERIA,KOREA D P RP,0,4.824943,NA
ALGERIA,MONGOLIA,0,4.640306,NA
ALGERIA,VIETNAM,0,4.64147,NA
